IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2019,false,,,,,,,,,,,,,4.44,,,2.62,,6.27,4.4 [2.6 - 6.3],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2019,false,,,,,,,,,,,,,5.33,,,3.32,,7.37,5.3 [3.3 - 7.4],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,UKR,Ukraine,Year,2019,false,,,,,,,,,,,,,5.53,,,3.52,,7.48,5.5 [3.5 - 7.5],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,NOR,Norway,Year,2019,false,,,,,,,,,,,,,6.02,,,4,,8.19,6.0 [4.0 - 8.2],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,false,,,,,,,,,,,,,6.34,,,4.14,,8.62,6.3 [4.1 - 8.6],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,GRC,Greece,Year,2019,false,,,,,,,,,,,,,6.62,,,4.34,,8.9,6.6 [4.3 - 8.9],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2019,false,,,,,,,,,,,,,7.11,,,4.85,,9.39,7.1 [4.8 - 9.4],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,false,,,,,,,,,,,,,7.12,,,4.81,,9.45,7.1 [4.8 - 9.5],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,false,,,,,,,,,,,,,7.64,,,5.13,,10.07,7.6 [5.1 - 10.1],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,ITA,Italy,Year,2019,false,,,,,,,,,,,,,7.59,,,5.14,,10.08,7.6 [5.1 - 10.1],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,ISL,Iceland,Year,2019,false,,,,,,,,,,,,,7.66,,,5.38,,10.09,7.7 [5.4 - 10.1],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,false,,,,,,,,,,,,,7.93,,,5.55,,10.35,7.9 [5.5 - 10.4],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,false,,,,,,,,,,,,,8.29,,,5.75,,10.78,8.3 [5.7 - 10.8],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,FIN,Finland,Year,2019,false,,,,,,,,,,,,,8.32,,,5.79,,10.76,8.3 [5.8 - 10.8],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,MLT,Malta,Year,2019,false,,,,,,,,,,,,,9.04,,,6.36,,11.61,9.0 [6.4 - 11.6],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,BEL,Belgium,Year,2019,false,,,,,,,,,,,,,9.22,,,6.54,,11.83,9.2 [6.5 - 11.8],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,false,,,,,,,,,,,,,9.23,,,6.56,,11.88,9.2 [6.6 - 11.9],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,false,,,,,,,,,,,,,9.25,,,6.67,,11.86,9.2 [6.7 - 11.9],,,EN,2024-06-20T22:00:00.000Z
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,false,,,,,,,,,,,,,9.84,,,6.99,,12.57,9.8 [7.0 - 12.6],,,EN,2024-06-20T22:00:00.000Z
